,user_id,gender,income_level,age
3,35,Male,Low,18 - 24
10,59,Female,Low,25 - 34
13,67,Female,High,18 - 24
14,70,Male,Low,25 - 34
16,73,Female,Medium,25 - 34
17,74,Male,Low,35 - 44
18,75,Male,Low,25 - 34
21,81,Male,Medium,25 - 34
25,86,Male,Low,< 18
27,89,Female,Medium,25 - 34
28,95,Female,Medium,18 - 24
29,97,Male,Medium,25 - 34
30,98,Male,Medium,< 18
31,99,Female,High,< 18
33,101,Female,Low,25 - 34
35,103,Male,Low,25 - 34
37,105,Male,Low,25 - 34
38,107,Male,Medium,35 - 44
39,108,Male,Low,25 - 34
41,114,Female,High,25 - 34
43,120,Male,Medium,< 18
45,122,Female,Low,25 - 34
48,127,Female,Low,18 - 24
52,136,Female,Low,< 18
53,139,Female,Medium,25 - 34
54,140,Female,Medium,25 - 34
55,143,Male,Low,35 - 44
56,145,Female,Low,35 - 44
57,146,Female,Low,25 - 34
61,156,Female,Low,25 - 34
62,158,Female,Low,25 - 34
65,167,Male,Low,25 - 34
66,168,Female,Medium,25 - 34
67,170,Male,Low,25 - 34
69,175,Female,Low,< 18
70,177,Female,Medium,18 - 24
71,186,Male,Medium,25 - 34
74,197,Male,Low,25 - 34
76,201,Male,Medium,25 - 34
77,205,Female,Low,25 - 34
78,206,Male,Low,25 - 34
79,208,Female,Low,25 - 34
80,210,Male,Low,18 - 24
84,227,Female,Medium,25 - 34
85,233,Female,Medium,< 18
86,240,Male,Medium,25 - 34
88,267,Female,Medium,18 - 24
89,278,Male,Low,< 18
90,281,Female,Low,18 - 24
92,311,Female,Medium,18 - 24
94,333,Male,Low,25 - 34
95,345,Male,Medium,45 - 54
96,351,Female,Medium,18 - 24
97,359,Male,Low,25 - 34
98,370,Male,Low,35 - 44
100,403,Female,Medium,25 - 34
101,424,Female,High,25 - 34
102,438,Female,Low,18 - 24
103,447,Female,High,25 - 34
107,469,Female,Low,< 18
108,478,Male,Medium,25 - 34
111,510,Female,Low,35 - 44
113,554,Male,Medium,< 18
114,561,Male,Medium,25 - 34
115,563,Male,Low,35 - 44
117,8589934632,Female,Low,25 - 34
119,8589934638,Male,Medium,35 - 44
124,8589934662,Female,Medium,25 - 34
126,8589934664,Female,Medium,25 - 34
127,8589934668,Male,Low,< 18
128,8589934669,Male,Medium,< 18
129,8589934671,Male,High,18 - 24
131,8589934683,Female,Medium,25 - 34
133,8589934685,Male,Low,18 - 24
134,8589934686,Female,Medium,25 - 34
135,8589934688,Male,Low,25 - 34
136,8589934689,Male,Low,25 - 34
138,8589934692,Female,Medium,25 - 34
139,8589934693,Female,Low,25 - 34
141,8589934698,Female,Medium,25 - 34
142,8589934699,Male,Low,25 - 34
143,8589934700,Female,Medium,35 - 44
144,8589934704,Male,Low,25 - 34
145,8589934705,Male,Low,25 - 34
147,8589934710,Male,Low,25 - 34
148,8589934711,Male,High,18 - 24
149,8589934714,Male,Low,25 - 34
150,8589934715,Female,Low,25 - 34
153,8589934721,Female,Low,< 18
154,8589934723,Male,Medium,25 - 34
155,8589934730,Male,Medium,25 - 34
156,8589934736,Male,Low,18 - 24
157,8589934743,Female,Low,35 - 44
159,8589934746,Male,Low,< 18
160,8589934752,Female,High,35 - 44
161,8589934756,Female,Medium,25 - 34
163,8589934758,Female,High,18 - 24
164,8589934761,Female,Low,25 - 34
165,8589934763,Male,Medium,18 - 24
167,8589934770,Male,High,25 - 34
168,8589934771,Female,Low,25 - 34
169,8589934772,Male,Medium,25 - 34
170,8589934781,Male,Medium,35 - 44
172,8589934783,Male,Medium,25 - 34
175,8589934789,Male,Medium,25 - 34
176,8589934793,Male,Medium,18 - 24
178,8589934806,Male,Low,35 - 44
179,8589934809,Male,Low,< 18
181,8589934815,Female,Low,< 18
182,8589934817,Female,Low,18 - 24
183,8589934821,Male,High,18 - 24
184,8589934830,Male,Low,25 - 34
185,8589934831,Female,Low,25 - 34
186,8589934859,Female,High,18 - 24
187,8589934869,Female,Low,18 - 24
188,8589934881,Male,Medium,25 - 34
191,8589934907,Male,Medium,18 - 24
193,8589934929,Female,Low,< 18
194,8589934934,Male,Medium,18 - 24
195,8589934967,Female,High,< 18
198,8589934981,Male,Low,< 18
199,8589934986,Female,Low,< 18
200,8589934992,Female,Low,18 - 24
201,8589934997,Male,Low,18 - 24
203,8589935002,Male,High,25 - 34
204,8589935004,Female,Low,18 - 24
205,8589935014,Female,Low,25 - 34
206,8589935047,Male,Low,25 - 34
207,8589935064,Female,Low,25 - 34
208,8589935104,Male,Medium,25 - 34
209,8589935130,Female,Low,25 - 34
210,8589935156,Female,Low,< 18
211,8589935171,Female,High,< 18
212,17179869211,Female,Medium,18 - 24
214,17179869225,Male,Medium,25 - 34
220,17179869233,Male,Low,25 - 34
221,17179869235,Female,High,18 - 24
222,17179869236,Male,Medium,25 - 34
224,17179869238,Male,Medium,25 - 34
225,17179869240,Female,Medium,18 - 24
226,17179869241,Male,Low,25 - 34
229,17179869246,Male,Medium,25 - 34
230,17179869248,Female,Medium,25 - 34
232,17179869251,Female,Medium,25 - 34
234,17179869253,Female,Low,25 - 34
235,17179869260,Female,High,18 - 24
237,17179869263,Male,Low,35 - 44
238,17179869265,Female,High,25 - 34
239,17179869267,Female,Low,25 - 34
241,17179869272,Female,Medium,25 - 34
243,17179869275,Male,Medium,25 - 34
247,17179869290,Female,Medium,25 - 34
248,17179869292,Male,High,25 - 34
249,17179869293,Male,Medium,25 - 34
251,17179869305,Male,Medium,35 - 44
252,17179869306,Male,Medium,18 - 24
253,17179869308,Female,Low,25 - 34
254,17179869309,Male,Medium,25 - 34
255,17179869316,Male,Medium,18 - 24
257,17179869324,Female,Medium,25 - 34
258,17179869325,Female,Low,18 - 24
260,17179869338,Male,Medium,25 - 34
261,17179869340,Male,Low,25 - 34
262,17179869342,Male,Low,< 18
264,17179869347,Female,High,25 - 34
268,17179869356,Male,Low,25 - 34
269,17179869357,Male,Medium,< 18
271,17179869364,Male,Low,25 - 34
275,17179869373,Female,Medium,< 18
276,17179869374,Female,Medium,55+
277,17179869375,Male,Low,25 - 34
278,17179869382,Female,Medium,25 - 34
279,17179869386,Female,Low,25 - 34
280,17179869389,Male,Low,< 18
281,17179869417,Female,Low,25 - 34
282,17179869420,Male,Low,25 - 34
283,17179869443,Male,Low,35 - 44
284,17179869452,Female,Low,< 18
286,17179869476,Female,Medium,< 18
287,17179869482,Male,High,35 - 44
288,17179869495,Female,Medium,35 - 44
