user_id,gender,income_level,age
35,Male,Low,18 - 24
59,Female,Low,25 - 34
67,Female,High,18 - 24
70,Male,Low,25 - 34
73,Female,Medium,25 - 34
74,Male,Low,35 - 44
75,Male,Low,25 - 34
81,Male,Medium,25 - 34
86,Male,Low,< 18
89,Female,Medium,25 - 34
95,Female,Medium,18 - 24
97,Male,Medium,25 - 34
98,Male,Medium,< 18
99,Female,High,< 18
101,Female,Low,25 - 34
103,Male,Low,25 - 34
105,Male,Low,25 - 34
107,Male,Medium,35 - 44
108,Male,Low,25 - 34
114,Female,High,25 - 34
120,Male,Medium,< 18
122,Female,Low,25 - 34
127,Female,Low,18 - 24
136,Female,Low,< 18
139,Female,Medium,25 - 34
140,Female,Medium,25 - 34
143,Male,Low,35 - 44
145,Female,Low,35 - 44
146,Female,Low,25 - 34
156,Female,Low,25 - 34
158,Female,Low,25 - 34
167,Male,Low,25 - 34
168,Female,Medium,25 - 34
170,Male,Low,25 - 34
175,Female,Low,< 18
177,Female,Medium,18 - 24
186,Male,Medium,25 - 34
197,Male,Low,25 - 34
201,Male,Medium,25 - 34
205,Female,Low,25 - 34
206,Male,Low,25 - 34
208,Female,Low,25 - 34
210,Male,Low,18 - 24
227,Female,Medium,25 - 34
233,Female,Medium,< 18
240,Male,Medium,25 - 34
267,Female,Medium,18 - 24
278,Male,Low,< 18
281,Female,Low,18 - 24
311,Female,Medium,18 - 24
333,Male,Low,25 - 34
345,Male,Medium,45 - 54
351,Female,Medium,18 - 24
359,Male,Low,25 - 34
370,Male,Low,35 - 44
403,Female,Medium,25 - 34
424,Female,High,25 - 34
438,Female,Low,18 - 24
447,Female,High,25 - 34
469,Female,Low,< 18
478,Male,Medium,25 - 34
510,Female,Low,35 - 44
554,Male,Medium,< 18
561,Male,Medium,25 - 34
563,Male,Low,35 - 44
8589934632,Female,Low,25 - 34
8589934638,Male,Medium,35 - 44
8589934662,Female,Medium,25 - 34
8589934664,Female,Medium,25 - 34
8589934668,Male,Low,< 18
8589934669,Male,Medium,< 18
8589934671,Male,High,18 - 24
8589934683,Female,Medium,25 - 34
8589934685,Male,Low,18 - 24
8589934686,Female,Medium,25 - 34
8589934688,Male,Low,25 - 34
8589934689,Male,Low,25 - 34
8589934692,Female,Medium,25 - 34
8589934693,Female,Low,25 - 34
8589934698,Female,Medium,25 - 34
8589934699,Male,Low,25 - 34
8589934700,Female,Medium,35 - 44
8589934704,Male,Low,25 - 34
8589934705,Male,Low,25 - 34
8589934710,Male,Low,25 - 34
8589934711,Male,High,18 - 24
8589934714,Male,Low,25 - 34
8589934715,Female,Low,25 - 34
8589934721,Female,Low,< 18
8589934723,Male,Medium,25 - 34
8589934730,Male,Medium,25 - 34
