user_id,minutes_viewed,ml_ouput
1,4,
2,233,
3,24,
4,147,
5,257,
6,342,
7,104,
8,0,
9,361,
10,317,
13,146,
14,0,
15,74,
16,204,
17,703,
18,0,
20,281,
21,441,
22,109,
23,491,
24,2,
26,4,
30,320,
31,0,
32,2565,
33,334,
34,287,
35,11,
36,18,
37,1230,
38,242,
39,1,
41,24,
43,17,
44,120,
45,12,
46,100,
47,19,
49,47,
52,229,
53,1099,
54,412,
55,114,
58,952,
60,104,
62,3985,
63,33,
64,60,
65,23,
66,149,
67,1446,
68,0,
69,0,
73,113,
74,1,
75,0,
76,1088,
77,64,
79,17,
80,105,
81,0,
82,95,
85,403,
86,4,
87,63,
88,203,
90,73,
91,7,
94,224,
95,335,
96,46,
97,0,
98,34,
100,0,
101,250,
102,0,
103,4,
104,72,
105,181,
106,3825,
107,7,
108,747,
109,1,
110,29,
115,1167,
116,5,
117,16,
120,2,
121,190,
124,769,
125,30,
126,81,
127,19,
128,467,
129,176,
132,221,
133,62,
134,288,
135,10,
136,5,
137,11,
139,88,
140,35,
141,0,
142,141,
144,97,
145,0,
146,984,
147,131,
148,77,
149,3,
150,88,
152,28,
153,743,
154,0,
155,1524,
158,10,
159,1,
160,10,
161,139,
162,1,
163,191,
164,38,
165,61,
166,17,
168,1611,
169,478,
170,891,
171,391,
173,218,
174,11,
175,74,
176,51,
177,798,
178,412,
179,5,
180,59,
181,215,
182,335,
183,4,
184,4,
185,0,
186,0,
187,0,
188,108,
189,0,
191,25,
193,271,
194,131,
195,387,
196,8,
197,222,
198,5,
199,461,
200,117,
201,1742,
202,0,
203,7,
204,412,
205,495,
206,0,
207,92,
208,0,
209,73,
210,105,
211,0,
212,39,
214,98,
215,0,
217,19,
219,0,
220,2,
221,1,
223,275,
224,108,
225,1,
226,12,
227,235,
228,234,
229,6,
231,39,
233,3,
234,150,
235,29,
236,142,
238,3,
239,405,
240,2,
241,177,
242,1,
243,104,
244,128,
245,333,
246,9,
247,1437,
248,7,
249,101,
250,81,
251,0,
252,888,
253,320,
255,3,
257,1,
258,5954,
259,30,
260,128,
261,13,
263,44,
264,10,
265,378,
266,364,
267,1210,
268,107,
270,86,
271,6,
272,1514,
273,145,
274,138,
275,3,
276,40,
277,1,
278,1,
280,1,
283,0,
284,781,
285,55,
287,23,
288,88,
289,372,
290,73,
292,178,
293,4,
294,543,
295,1,
296,83,
297,11,
298,0,
299,1,
301,8,
302,4,
304,0,
306,78,
307,1610,
309,468,
310,301,
311,559,
312,15,
314,173,
315,206,
316,84,
317,5,
319,2,
320,6,
321,0,
322,54,
323,1,
325,297,
326,8,
327,43,
328,4,
330,1,
331,3,
334,7,
335,640,
336,0,
337,2,
338,1,
339,7,
340,5,
344,1074,
345,874,
346,43,
348,115,
349,150,
350,1,
352,113,
353,383,
355,7,
356,116,
357,11,
358,14,
359,5,
361,133,
365,3,
367,1524,
368,1,
369,10,
371,0,
372,0,
373,398,
374,38,
375,93,
376,2,
378,24,
379,102,
380,1,
381,2,
382,158,
384,30,
385,1,
386,0,
387,446,
